"사업장","공장","SafeSeal타입","반입번호","제조오더번호","SN","기존 SN","신규 SN","사용자재목록","사용수량목록","최종공정","상태"
"HSIONES","P2","WIPE DOWN","260408-072-12","T226040800023","A0506293 212436917","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-072-13","T226040800024","A0506293 223715704","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-071-1","T226040800025","A0496495 168846611","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-071-2","T226040800026","A0496495 171156004","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-071-3","T226040800027","A0496495 169372522","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-071-4","T226040800028","A0563802 169372505","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260408-072-14","T226040800065","A0496495 129764503","9000040639 382301148","9000174472 4825 20015","A0435265","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260408-072-14","T226040800065","A0496495 129764503","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260408-072-14","T226040800065","A0496495 129764503","","","A0477606","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260408-072-15","T226040800066","A0496495 133031118","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260408-072-15","T226040800066","A0496495 133031118","9000040639 4221 00010","9000174472 4725 20004","A0435265","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260408-072-15","T226040800066","A0496495 133031118","","","A0477606","2","출하검사","작업완료"
"HSIONES","P2","REFURB","260408-072-16","T226040800067","A0506293 193585111","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260408-072-16","T226040800067","A0506293 193585111","9000040639 0523 00705","9000174472 4625 20021","A0435265","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260408-072-16","T226040800067","A0506293 193585111","","","A0491889","1","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260408-072-17","T226040800068","A0506293 193585110","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260409-072-2","T226040900109","A0506293 223715812","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260409-072-4","T226040900111","A0506293 234923616","9000174472 4723 20012","9000174472 4625 20049","A0435265","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260409-072-4","T226040900111","A0506293 234923616","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260409-072-5","T226040900112","A0506293 222247009","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260409-072-5","T226040900112","A0506293 222247009","9000040639 4123 80013","9000174472 4625 20048","A0435265","1","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260409-072-6","T226040900113","A0503421 122882106","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260410-071-1","T226041000157","A0618162 217227704","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260410-071-2","T226041000158","A0618162 219352811","","","","","WET","작업대기"
"HSIONES","P2","WIPE DOWN","260410-071-3","T226041000159","A0618162 236698701","","","","","WET","작업대기"
"HSIONES","P2","WIPE DOWN","260410-071-4","T226041000160","A0618162 219353004","","","","","WET","작업대기"
"HSIONES","P2","WIPE DOWN","260410-071-5","T226041000161","A0618162 233416501","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260410-071-6","T226041000162","A0618162 220511506","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260410-071-7","T226041000163","A0618162 234117601","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260410-071-8","T226041000164","A0618162 219352403","","","","","WET","작업대기"
"HSIONES","P2","WIPE DOWN","260410-071-9","T226041000165","A0618162 225381415","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260410-071-10","T226041000166","A0618162 219352803","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260410-071-11","T226041000167","A0618162 233416601","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260410-072-1","T226041000168","A0506293 246714909","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260410-072-1","T226041000168","A0506293 246714909","9000174472 2325 200028","9000174472 4625 20025","A0435265","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260410-072-2","T226041000169","A0506293 222247014","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260410-072-2","T226041000169","A0506293 222247014","9000040639 2923 20006","9000174472 4625 20015","A0435265","1","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260410-072-3","T226041000170","A0506293 246714901","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260410-072-4","T226041000172","A0503421 815801016","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260414-072-1","T226041400047","A0506293 226560006","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260414-072-2","T226041400048","A0506293 231454606","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260414-072-3","T226041400049","A0506293 223715806","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260414-072-4","T226041400050","A0506293 213557405","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260414-072-5","T226041400051","A0506293 226560005","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260414-072-6","T226041400052","A0506293 219114416","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260414-072-7","T226041400053","A0506293 240003107","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260414-072-8","T226041400054","A0506293 231454615","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260414-072-9","T226041400055","A0506293 162761406","9000174472 2225 01426","9000174472 5125 01788","A0435265","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260414-072-9","T226041400055","A0506293 162761406","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260414-072-10","T226041400056","A0506293 162761402","9000174472 0624 20058","9000174472 4225 20010","A0435265","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260414-072-10","T226041400056","A0506293 162761402","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260414-072-11","T226041400057","A0506293 129499609","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260414-072-11","T226041400057","A0506293 129499609","9000174472 2325 01452","9000174472 4225 01767","A0435265","1","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260414-072-12","T226041400058","A0506293 178290302","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260414-072-13","T226041400059","A0506293 246714813","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260414-072-14","T226041400060","A0506293 162761407","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260414-072-15","T226041400061","A0506293 127487004","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260414-072-16","T226041400062","A0506293 129499615","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260414-072-17","T226041400063","A0506293 193585113","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260414-072-17","T226041400063","A0506293 193585113","9000174472 2825 20003","9000174472 5125 01802","A0435265","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260414-072-18","T226041400064","A0506293 233207214","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260414-072-18","T226041400064","A0506293 233207214","9000174472 4425 01813","9000174472 5125 01842","A0435265","1","출하검사","작업완료"
