"","","","","","","","","","","","","","","","","","SHT update","","","","","","","","SHT update","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No.","INDEX1","INDEX2","Customer","Fab","Tool","SS P/N","SS S/N","PO","0247#","수주번호","Note","S/D","Login date","Incoming date","Repair
Location","IONES->SHT","SHT->IONES","Arrival date
in iONES","CLN
Finsh date","Delivery
date","PM Reason","Arrived 
at SHT","Process Needed","Repaired","Refurb/replace reason","SHT Remark ","SHT PO","","Recycle
Count
(T-R-C)","Total wafer","Wafer Pass Copper","Wafer Pass
Nickel","WaferPass Tin-Silver","Wafer Pass 
Tin","Wafer Pass
Gold","Amp-Min Copper            ","Amp-Min 
Nickel","Amp-Min Tin-Silver","Amp-Min 
Tin","Amp-Min 
Gold","History file Date","Pass or Fail","DMR#","NC report content
(Auto // Need to update ""DMR Ctrl CV"" Sheet)","Status","Replcaement part","Repacement PN","Wafer Seal","Contact pin","Cotnact pin
Q'ty","기본
Screw","Screw
Q'ty","Screw other","Screw other
Q'ty","Retainer","Lead in","Lead in Q'ty"
"9398","125440607C","125440607-R0C","Hynix","","7022(Hynix)","A0503421","125440607","4517577073","0247-04585","240109-072-8","","","45300","45300","","","","","45307","45308","SS Plate UP","","","","","","","","1-0-1","358","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9400","125440402C","125440402-R0C","Hynix","","7022(Hynix)","A0503421","125440402","4517570632","0247-04585","240109-072-10","","","45300","45300","","","","","45307","45308","Safeseal PM Counts Reach","","","","","","","","1-0-1","704","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9401","125440603C","125440603-R0C","Hynix","","7022(Hynix)","A0503421","125440603","4517577079","0247-04585","240109-072-11","","","45300","45300","","","","","45307","45308","SS Plate UP","","","","","","","","1-0-1","358","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9402","160277803C","160277803-R0C","Hynix","","40383(Hynix)","A0506293","160277803","4517577077","0247-05612","240109-072-12","","","45300","45300","","","","","45307","45308","SS Plate UP","","","","","","","","1-0-1","762","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9394","173605603C","173605603-R0C","Hynix","","40383(Hynix)","A0506293","173605603","4517577074","0247-05612","240109-072-4","","","45300","45300","","","","","45308","45309","SS Plate UP","","","","","","","","1-0-1","406","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9396","127457610C","127457610-R0C","Hynix","","7022(Hynix)","A0503421","127457610","4517577082","0247-04585","240109-072-6","","","45300","45300","","","","","45308","45309","SS Plate UP","","","","","","","","1-0-1","321","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9403","193585114C","193585114-R0C","Hynix","","51640(Hynix)","A0506293","193585114","4517570629","0247-05612","240109-072-13","","","45300","45300","","","","","45308","45309","Safeseal PM Counts Reach","","","","","","","","1-0-1","1000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9404","127487002C","127487002-R0C","Hynix","","51640(Hynix)","A0506293","127487002","4517570633","0247-05612","240109-072-14","","","45300","45300","","","","","45308","45309","Safeseal PM Counts Reach","","","","","","","","1-0-1","1000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9405","137079705C","137079705-R0C","Hynix","","17769(Hynix)","A0506293","137079705","4517570635","0247-05612","240109-072-15","","","45300","45300","","","","","45308","45309","Safeseal PM Counts Reach","","","","","","","","1-0-1","1300","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9407","125440601C","125440601-R0C","Hynix","","7022(Hynix)","A0503421","125440601","4517577076","0247-04585","240109-072-17","","","45300","45300","","","  ","","45308","45309","SS Plate UP","","","","","","","","1-0-1","238","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9408","137485313C","137485313-R0C","Hynix","","40383(Hynix)","A0506293","137485313","4517584312","0247-05612","240110-072-1","","","45301","45301","","","","","45308","45309","","","","","","","","","1-0-1","389","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9413","125440613C","125440613-R0C","Hynix","","7022(Hynix)","A0503421","125440613","4517578434","0247-04585","240110-072-6","","","45301","45301","","","","","45308","45309","Clamp Alarm","","","","","","","","1-0-1","383","","","","","","","","","","","","","","","","","","","","","","","","","","",""
